MSE,rate,Algorithm,SNR,nAntennas,nCoherence
0.3458922461396428,2.1829962348457674,CircMMSE,0,8,1
0.33596385958257646,2.1711393018216762,FastMMSE,0,8,1
0.42768464783538396,2.113155324605995,CircML,0,8,1
0.25177701925303336,2.1186469564857626,GenieOMP,0,8,1
0.14423780590599938,2.621592489691888,GenieMMSE,0,8,1
0.23768297463031585,2.305794272264253,DiscreteMMSE,0,8,1
0.24264918343436429,2.2959214194342197,ToepMMSE,0,8,1
0.24033046968023816,3.164178384138454,CircMMSE,0,16,1
0.22658970291613534,3.151295018637826,FastMMSE,0,16,1
0.3736871903507754,2.9797978473336624,CircML,0,16,1
0.19933541769117996,3.0766791646208076,GenieOMP,0,16,1
0.11267714275019325,3.5072010484809866,GenieMMSE,0,16,1
0.1564145794090281,3.284373776063318,DiscreteMMSE,0,16,1
0.17231389288151028,3.2573495751783597,ToepMMSE,0,16,1
0.16596648547443432,4.368309540791762,CircMMSE,0,32,1
0.16248491288742012,4.343905306891695,FastMMSE,0,32,1
0.34302776491881903,4.0460961053690445,CircML,0,32,1
0.1788464883405287,4.226995249052515,GenieOMP,0,32,1
0.0981168966077941,4.541779309561093,GenieMMSE,0,32,1
0.11259321524829181,4.45635853131894,DiscreteMMSE,0,32,1
0.1299081082107644,4.420928201541886,ToepMMSE,0,32,1
0.126597851232336,5.532490608749999,CircMMSE,0,64,1
0.13064247104924975,5.500741458628314,FastMMSE,0,64,1
0.32206029050478896,5.162832424672654,CircML,0,64,1
0.1727632025701405,5.37320048583618,GenieOMP,0,64,1
0.08975489126177706,5.609827515209615,GenieMMSE,0,64,1
0.09409138071034069,5.589796898454497,DiscreteMMSE,0,64,1
0.10673821590809712,5.565674147739289,ToepMMSE,0,64,1
0.11354698873599371,6.228603033110778,CircMMSE,0,96,1
0.12058342207255428,6.200840003077238,FastMMSE,0,96,1
0.31329857091511154,5.872344964214984,CircML,0,96,1
0.17459776221087292,6.07706985584285,GenieOMP,0,96,1
0.08800522374469948,6.274774259844328,GenieMMSE,0,96,1
0.09033267443948727,6.267941345988004,DiscreteMMSE,0,96,1
0.0999723217005111,6.251073024694395,ToepMMSE,0,96,1
